Sampling Feature UUID: a8098bc0-141d-4882-b251-bedc0219fe1b
Date and Time in UTC+0
Result UUID: ,36f4f6a1-2f36-4083-b8a8-94f50acdd066,55f349b7-3491-40de-a828-9abb31e9f20d,fbee68c8-5463-4a38-98a8-f985fba923e8,be1d621e-95d4-447e-bee7-97d4102c9f2e
2023-11-04 00:02:35,158,2.83,-6.18,91
2023-11-04 01:02:35,159,2.78,-3.78,91
2023-11-04 02:02:35,160,2.96,-2.55,91
2023-11-04 03:02:35,161,2.65,-1.55,91
2023-11-04 04:02:35,162,2.84,1.11,85
2023-11-04 05:02:35,163,3.08,1.97,86
2023-11-04 06:02:35,164,2.77,4.91,73
2023-11-04 08:02:35,166,2.82,7.44,67
2023-11-04 09:02:35,167,2.86,9.78,57
2023-11-04 10:02:35,168,2.86,9.97,59
2023-11-04 11:02:35,169,2.86,8.32,66
2023-11-04 12:02:35,170,2.61,8.13,67
2023-11-04 13:02:35,171,2.5,6.85,69
2023-11-04 14:02:35,172,2.51,7.63,67
2023-11-04 15:02:35,173,2.9,4.84,77
2023-11-04 16:02:35,174,2.69,5.07,78
2023-11-04 17:02:35,175,2.58,2.61,83
2023-11-04 18:02:35,176,2.87,3.34,84
2023-11-04 19:02:35,177,2.78,3.28,82
2023-11-04 20:02:35,178,2.91,2.76,87
2023-11-04 21:02:35,179,2.91,3.36,87
2023-11-04 22:02:35,180,2.82,4.98,84
2023-11-04 23:02:35,181,2.78,4.57,88
2023-11-05 00:02:35,182,2.49,5.04,87
2023-11-05 01:02:35,183,2.78,4.33,92
2023-11-05 01:02:35,184,2.95,3.58,92
2023-11-05 02:02:35,185,2.9,3.33,93
2023-11-05 03:02:35,186,2.83,3.82,93
2023-11-05 04:02:35,187,2.69,5.39,92
2023-11-05 05:02:35,188,2.79,9.68,58
2023-11-05 06:02:35,189,2.56,9.21,56
2023-11-05 07:02:35,190,2.36,8.7,58
2023-11-05 08:02:35,191,2.57,8.63,59
2023-11-05 09:02:35,192,2.78,8.87,56
2023-11-05 10:02:35,193,2.83,8.56,56
2023-11-05 11:02:35,194,2.7,5.69,65
2023-11-05 12:02:35,195,2.72,3.17,67
2023-11-05 13:02:35,196,2.85,3.61,65
2023-11-05 14:02:35,197,2.62,1.79,72
2023-11-05 15:02:35,198,2.79,2.49,71
2023-11-05 16:02:35,199,3.01,-2.33,86
2023-11-05 17:02:35,200,3.01,-1.58,86
2023-11-05 18:02:35,201,2.67,-0.43,85
2023-11-05 19:02:35,202,2.55,-2.35,87
2023-11-05 20:02:35,203,2.79,-1.96,89
2023-11-05 21:02:35,204,2.59,-1.51,88
2023-11-05 22:02:35,205,2.9,-1.11,89
2023-11-05 23:02:35,206,2.76,-1.01,88
2023-11-06 00:02:35,207,2.64,-1.42,90
2023-11-06 01:02:35,208,2.76,-2.3,91
2023-11-06 02:02:35,209,2.85,-2.64,90
2023-11-06 03:02:35,210,2.74,3.31,75
2023-11-06 04:02:35,211,2.91,4.96,66
2023-11-06 05:02:35,212,2.57,7.94,55
2023-11-06 06:02:35,213,2.86,8.97,53
2023-11-06 07:02:35,214,2.69,9.79,49
2023-11-06 08:02:35,215,2.52,13.74,44
2023-11-06 09:02:35,216,2.87,8.56,61
2023-11-06 10:02:35,217,3.0,3.82,92
2023-11-06 11:02:35,218,2.86,3.41,93
2023-11-06 12:02:35,219,2.67,3.16,93
2023-11-06 13:02:35,220,2.75,2.2,93
2023-11-06 14:02:35,221,2.75,1.72,93
2023-11-06 15:02:35,222,2.67,1.59,93
2023-11-06 16:02:35,223,3.09,1.99,93
2023-11-06 17:02:35,224,2.79,0.73,84
2023-11-06 18:02:35,225,2.74,0.43,79
2023-11-06 19:02:35,226,2.98,-1.7,89
2023-11-06 20:02:35,227,2.7,1.38,73
